# Gene Family	B_Abundance-RPKs
UNMAPPED	199918.0000000000
UniRef90_A0A069S3I5	250.0000000000
UniRef90_A0A069S3I5|g__Bacteroides.s__Bacteroides_vulgatus	250.0000000000
UniRef90_E0X5I3	23.2558139535
UniRef90_E0X5I3|g__Bacteroides.s__Bacteroides_dorei	23.2558139535
UniRef90_D5P6I6	14.1342756184
UniRef90_D5P6I6|g__Bacteroides.s__Bacteroides_dorei	14.1342756184
UniRef90_A0A173XT59	13.8051172038
UniRef90_A0A173XT59|g__Bacteroides.s__Bacteroides_vulgatus	13.8051172038
UniRef90_P10738	9.7879282219
UniRef90_P10738|g__Bacteroides.s__Bacteroides_dorei	9.7879282219
UniRef90_Q8ZKT7	5.0377869239
UniRef90_Q8ZKT7|unclassified	5.0377869239